iso3,value,year
ARE,15.3,2025
ARG,-1.1,2025
AUT,1.0,2025
AUS,-2.6,2025
BGD,0.0,2025
BEL,-2.1,2025
BRA,-3.0,2025
CAN,-0.9,2025
CHE,7.1,2025
CHL,-2.3,2025
CHN,3.7,2025
COL,-2.4,2025
CZE,0.7,2025
DEU,4.4,2025
DNK,12.5,2025
EGY,-4.2,2025
ESP,2.9,2025
ETH,-0.9,2025
FIN,1.3,2025
FRA,-0.4,2025
GHA,7.9,2025
GRC,-5.7,2025
HKG,12.2,2025
HUN,1.3,2025
IDN,-0.1,2025
IRL,8.2,2025
ISR,1.5,2025
IND,-0.9,2025
ITA,1.2,2025
JPN,4.8,2025
KEN,-2.7,2025
KOR,6.6,2025
KWT,23.3,2025
MAR,-2.1,2025
MEX,-0.4,2025
MYS,1.6,2025
NGA,5.1,2025
NLD,8.8,2025
NOR,14.1,2025
NZL,-3.7,2025
PHL,-3.3,2025
PAK,0.5,2025
POL,-0.7,2025
PRT,1.2,2025
QAT,14.5,2025
ROU,-8.0,2025
RUS,1.6,2025
SAU,-3.0,2025
SWE,6.1,2025
SGP,16.7,2025
THA,3.1,2025
TUR,-1.9,2025
TZA,-2.4,2025
UKR,-15.0,2025
GBR,-3.1,2025
USA,-3.6,2025
VNM,6.7,2025
ZAF,-0.5,2025
